x,y,z
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
10.6066017177982,0,10
