x,y,z
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
14.142135623731,0,10
