step no.,uptime,x,y,z,u,v,w,p,q,r,p_m,q_m,r_m,p_t,q_t,r_t,lm_p,lm_q,lm_r
33,6.271229514037259,-0.00204803582250996,-0.00531930552895333,-0.0624484027790705,0.0602933451548257,0.0587860731422939,0.120358971321587,0.249995229077036,-0.108619667980215,0.249994787408903,0.0,-0.0,-0.2900000214576721,0.249995229077036,-0.108619667980215,0.0904962872587134,0.0500047709229640,0.408619667980215,0.549994787408903
34,6.480294264969416,-0.0105871112596957,-0.00607904689637767,-0.0739203822061412,0.0293614708125748,0.0521597421966649,0.0460339935735024,0.249995081118914,-0.148089869429553,0.249994512781210,0.0,-0.0,-0.2900000214576721,0.249995081118914,-0.148089869429553,0.0904960922730575,0.0500049188810864,0.448089869429553,0.549994512781210
35,6.696544755017385,-0.00646942152602693,-0.00344599838533812,-0.0675203674083055,0.0613311376907815,0.0553316847906400,0.0773172123842825,0.249995249361503,-0.128578923801149,0.249994764163694,0.0,-0.0,-0.2900000214576721,0.249995249361503,-0.128578923801149,0.0904962707546155,0.0500047506384973,0.428578923801149,0.549994764163694
36,6.868312446051277,-0.0149101926240455,-0.00473055668239333,-0.0796549823439812,0.0304058407231514,0.0531162921137456,0.0263117224707548,0.249995083175465,-0.142379739429595,0.249994604596251,0.0,-0.0,-0.2900000214576721,0.249995083175465,-0.142379739429595,0.0904961574617342,0.0500049168245350,0.442379739429595,0.549994604596251
37,7.0925044029718265,-0.0104706376775818,-0.00272485164628187,-0.0796896590543814,0.0575139205978726,0.0554694770911252,0.0423165648320233,0.249995251300492,-0.133711790332080,0.249994810269778,0.0,-0.0,-0.2900000214576721,0.249995251300492,-0.133711790332080,0.0904963034899339,0.0500047486995078,0.433711790332080,0.549994810269778
38,7.29053976398427,-0.0104773662388379,-0.00155766005127797,-0.0858620375701057,0.0456668700277536,0.0569915518350630,0.0195889075472682,0.249995107898974,-0.144122354263666,0.249994699034722,0.0,-0.0,-0.2900000214576721,0.249995107898974,-0.144122354263666,0.0904962245130468,0.0500048921010261,0.444122354263666,0.549994699034722
39,7.484674280975014,-0.00319525572945442,-0.000887121228183562,-0.0781000634292312,0.0804082876299934,0.0530758525007831,0.0747285554414110,0.249995164428234,-0.150368490520471,0.249994782252974,0.0,-0.0,-0.2900000214576721,0.249995164428234,-0.150368490520471,0.0904962835980041,0.0500048355717664,0.450368490520471,0.549994782252974
40,7.68876779905986,-0.0105817840193763,0.00108614481813299,-0.0909422959695104,0.0411477960919069,0.0582173407350706,0.0232356326927470,0.249994984174364,-0.141288391725070,0.249994561126698,0.0,-0.0,-0.2900000214576721,0.249994984174364,-0.141288391725070,0.0904961265983528,0.0500050158256358,0.441288391725070,0.549994561126698
41,7.8726259709801525,-0.00569160678072455,-0.000193291452101503,-0.0798289207884765,0.0683009240486382,0.0481544501556738,0.0852790742822646,0.249995180350523,-0.158822874284934,0.249994791553536,0.0,-0.0,-0.2900000214576721,0.249995180350523,-0.158822874284934,0.0904962902014027,0.0500048196494773,0.458822874284934,0.549994791553536
42,8.076015628990717,-0.0126902915426257,0.00273093048703285,-0.0909860604987051,0.0361154936809527,0.0576188127134429,0.0309974570382820,0.249995048007196,-0.129269138895056,0.249994578541517,0.0,-0.0,-0.2900000214576721,0.249995048007196,-0.129269138895056,0.0904961389628738,0.0500049519928039,0.429269138895056,0.549994578541517
43,8.263454733998515,-0.00495551448535997,0.00326381380753116,-0.0841642107178983,0.0834110790753326,0.0550421706290504,0.0795093553030452,0.249995206632822,-0.160328104396504,0.249994791867639,0.0,-0.0,-0.2900000214576721,0.249995206632822,-0.160328104396504,0.0904962904244156,0.0500047933671778,0.460328104396504,0.549994791867639
44,8.489461404038593,-0.0133853564471672,0.00835616864323292,-0.0945124112324807,0.0378984071012985,0.0646292583715570,0.0305410900783193,0.249994967619181,-0.154767293102961,0.249994554103089,0.0,-0.0,-0.2900000214576721,0.249994967619181,-0.154767293102961,0.0904961216115902,0.0500050323808186,0.454767293102961,0.549994554103089
45,8.678951079025865,-0.00860928411926391,0.00318957841943334,-0.0853530953844806,0.0689895151483237,0.0382733566986738,0.0849551985340534,0.249995180683394,-0.190592211656562,0.249994791106115,0.0,-0.0,-0.2900000214576721,0.249995180683394,-0.190592211656562,0.0904962898837336,0.0500048193166060,0.490592211656562,0.549994791106115
